Permit_Number,Owner_Name,Operating_Name,Street,City,Prem_Zip,Prem_County,New_Permit_Flag
CA-W-3105,"ROBERT YOUNG ESTATE WINERY, LLC",ROBERT YOUNG ESTATE WINERY,4960 RED WINERY RD,GEYSERVILLE,95441,SONOMA,0
CA-W-3107,"MARTIN RAY WINERY, INC",MARTIN RAY WINERY,2191 LAGUNA RD,SANTA ROSA,95401,SONOMA,0
CA-W-3114,"GRANDS AMIS, INC.",GRANDS AMIS,2 W LOCKEFORD ST,LODI,95240,SAN JOAQUIN,0
CA-W-3118,"ANNADEL VINEYARD PARTNERS, LLC",WESTWOOD WINERY,3100 PONDEROSA RD,SHINGLE SPRINGS,95682,EL DORADO,0
CA-W-3119,GARRY & NANCY RODRIGUE,RODRIGUE MOLYNEAUX WINERY,3053 MARINA AVE,LIVERMORE,94550,ALAMEDA,0
CA-W-3130,"KELSEY SEE CANYON VINEYARDS, INC.",KELSEY SEE CANYON VINEYARDS,1945 SEE CANYON RD,SAN LUIS OBISPO,93405,SAN LUIS OBISPO,0
CA-W-3131,"NICKEL & NICKEL VINEYARDS, L.L.C.",,8164 ST HELENA HWY,OAKVILLE,94562,NAPA,0
CA-W-3133,"HIRSCH WINERY, LLC",HIRSCH WINERY,45075 BOHAN DILLON RD,CAZADERO,95421,SONOMA,0
CA-W-3135,"THE VINEYARDS OF PATRICIA & PETER LENZ, LTD.",SLAUGHTERHOUSE WINERY,280 CHIQUITA RD,HEALDSBURG,95448,SONOMA,0
CA-W-3139,LE VIGNE DI SAN DOMENICO,,5115 BUENA VISTA DR 1,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-3143,VAROZZA VINEYARDS LLC,,514 PRATT AVE,SAINT HELENA,94574,NAPA,0
CA-W-3146,DEL DOTTO VINEYARDS,,1055 ATLAS PEAK RD,NAPA,94558,NAPA,0
CA-W-3147,MICHAEL J. FAUL,RABBITS FOOT MEADERY,15540 SUTTER CREEK RD,SUTTER CREEK,95685,AMADOR,0
CA-W-3148,"TWIN PEAKS WINERY, INC.",Cliff Lede Vineyards,1473 YOUNTVILLE CROSS RD,YOUNTVILLE,94599,NAPA,0
CA-W-3149,ZARIF COMPANIES,,300 N G ST STE C,LOMPOC,93436,SANTA BARBARA,0
CA-W-3151,"TWIN OAKS VALLEY VINTNERS, LLC",TWIN OAKS VALLEY WINERY,1451 MULBERRY DR,SAN MARCOS,92069,SAN DIEGO,0
CA-W-3152,JOSEPH & ANNA GATES,CATANO WINERY,2861 MURRAY RIDGE RD,SAN ANDREAS,95249,CALAVERAS,0
CA-W-3153,"BODEGAS AGUIRRE, LLC",,8580 TESLA RD,LIVERMORE,94550,ALAMEDA,0
CA-W-3157,"BOAVENTURA DE CAIRES, INC",BOAVENTURA VINEYARDS,9309 TESLA RD,LIVERMORE,94550,ALAMEDA,0
CA-W-3159,"LATCHAM GRANITE, INC.",LATCHAM VINEYARDS,2860 OMO RANCH RD,SOMERSET,95684,EL DORADO,0
CA-W-3162,"CALCAREOUS VINEYARD, LLC",CALCAREOUS WINERY,3430 PEACHY CANYON RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-3165,"SELBY ENTERPRISES, INC.",SELBY WINERY,"498 MOORE LN SUITE A, C",HEALDSBURG,95448,SONOMA,0
CA-W-3174,JOHN A. HOLDREDGE & CARRIE J. O'LOUGHLIN,HOLDREDGE WINES,1033 HWY 49,SAN ANDREAS,95249,CALAVERAS,0
CA-W-3179,"BENT CREEK WINERY, LLC",BENT CREEK WINERY,5455 GREENVILLE RD,LIVERMORE,94550,ALAMEDA,0
CA-W-3181,HALTER WINERY LLC,Halter Ranch Vineyard,8910 ADELAIDA RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-3182,TERRY HOWARD KLEIN & NANCY KLEIN,ALLORA VINEYARDS,3244 EHLERS LN,SAINT HELENA,94574,NAPA,0
CA-W-3183,COLGIN CELLARS LLC,,220 LONG RANCH RD,SAINT HELENA,94574,NAPA,0
CA-W-3184,OPHIR WINES LLC,OPHIR WINES,8030 WOODMAN LN,NEWCASTLE,95658,PLACER,0
CA-W-3186,CLAUTIERE LLC,CLAUTIERE VINEYARD,1340 PENMAN SPRINGS RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-3189,MICHAEL & LYNNE MUCCIGROSSO,MUCCIGROSSO VINEYARDS,21450 BEAR CREEK RD,LOS GATOS,95033,SANTA CRUZ,0
CA-W-3190,MODERN DEVELOPMENT COMPANY (LP),BIANCHI VINEYARDS,3380 BRANCH RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-3192,"FREEMAN FAMILY WINERY, LLC",FREEMAN FAMILY WINERY,1300 MONTGOMERY RD,SEBASTOPOL,95472,SONOMA,0
CA-W-3194,"SILKWOOD WINES, LLC.",SILKWOOD WINES,3006 YOSEMITE BLVD BLDG G,MODESTO,95354,STANISLAUS,0
CA-W-3195,LAWRENCE ANDREW CELLARS,VIA VEGA WINERY,2378 ADOBE RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-3196,PETER R. & MARYBETH SMIDERLE,MONICLAIRE,1750 LYTTON SPRINGS RD,HEALDSBURG,95448,SONOMA,0
CA-W-3197,"MCMASTER WINE GROUP, INC.",ARGONAUT WINERY,13825 WILLOW CREEK RD,IONE,95640,AMADOR,0
CA-W-3198,"BROWN ESTATE VINEYARDS, LLC",BROWN ESTATE VINEYARDS,3233 SAGE CANYON RD,SAINT HELENA,94574,NAPA,0
CA-W-32,F. KORBEL & BROS.,F. KORBEL & BROS.,13250 RIVER RD,GUERNEVILLE,95446,SONOMA,0
CA-W-3201,NICK ANGELO BUTTITTA,ROSA D'ORO VINEYARDS,3155 MERRITT RD,KELSEYVILLE,95451,LAKE,0
CA-W-3202,"KOEHLER WINERY, LLC",,5360 FOXEN CANYON RD,LOS OLIVOS,93441,SANTA BARBARA,0
CA-W-3207,"VINEYARD 29, LLC",Vineyard 29,2929 SAINT HELENA HWY,SAINT HELENA,94574,NAPA,0
CA-W-3208,"SOUTH COAST WINERY, INC.",,34843 RANCHO CALIFORNIA RD,TEMECULA,92591,RIVERSIDE,0
CA-W-3212,"LAURA MICHAEL WINES, INC.",LAURA MICHAEL WINES,2250 LAKE COUNTY HWY,CALISTOGA,94515,NAPA,0
CA-W-3214,"MOUNT ST. HELENA WINERY, LLC",MOUNT ST. HELENA WINERY,20963 HIGHWAY 175,MIDDLETOWN,95461,LAKE,0
CA-W-3216,DEBORAH LEE MORTON,COLIN LEE VINEYARDS AND WINERY,1189 LAWNDALE RD,KENWOOD,95452,SONOMA,0
CA-W-3217,GERARDO CORDIANO AND ROSAMARIA CORDIANO,CORDIANO WINERY,15732 HIGHLAND VALLEY RD,ESCONDIDO,92025,SAN DIEGO,0
CA-W-3220,"SUNLAND ENTERPRISES, LLC",SALERNO WINERY,17948 HIGHWAY 67,RAMONA,92065,SAN DIEGO,0
CA-W-3222,"MONTEREY WINE COMPANY, LLC",Monterey Wine Company,1010 INDUSTRIAL WAY,KING CITY,93930,MONTEREY,0
CA-W-3226,"VINATIERI VINEYARDS, LLC",VINATIERI VINEYARDS,860 KAISER RD STE 1,NAPA,94558,NAPA,0
CA-W-3228,"LAS MADRONAS VINEYARDS, LLC",LAS MADRONAS WINERY,2190 THORNSBERRY RD,SONOMA,95476,SONOMA,0
CA-W-3232,"WEND-TYLER WINERY, INC.",WEND-TYLER WINERY,8737 SHOEMAKER AVE,MODESTO,95358,STANISLAUS,0
CA-W-3233,"SPANOS-BERBERIAN WINERY, LLC",BELL WINE CELLARS,6200 WASHINGTON ST,YOUNTVILLE,94599,NAPA,0
CA-W-3235,JASON J. AND MOLLY N. DREW,DREW FAMILY CELLARS,31351 PHILO-GREENWOOD RD,ELK,95432,MENDOCINO,0
CA-W-3239,G.J. ROGERS AND DIANE G. ROGERS,SHASTA VIEW VINEYARDS,5100 AGER RD,MONTAGUE,96064,SISKIYOU,0
CA-W-3240,"QUAIL NEST, LLC",,8195 CRANE RIDGE RD,LIVERMORE,94550,ALAMEDA,0
CA-W-3241,JEFFREY M. BARRANTI,J.M. BARRANTI VINEYARDS,24842 SKYLAND RD,LOS GATOS,95033,SANTA CRUZ,0
CA-W-3243,HUNTER WINE CELLARS LLC,HUNTER WINE CELLARS,2064 116 HWY,SEBASTOPOL,95472,SONOMA,0
CA-W-3244,"CRYSTAL BASIN CELLARS, INC.",CRYSTAL BASIN CELLARS,3550 CARSON RD,CAMINO,95709,EL DORADO,0
CA-W-3245,"SUMMERWOOD WINERY & INN, INC.",SUMMERWOOD,2175 ARBOR RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-3247,"LUCCHESI VINEYARDS & WINERY, INC.",,19698 VIEW FOREVER LN,GRASS VALLEY,95945,NEVADA,0
CA-W-3248,"RAMEY WINE CELLARS, INC.",RAMEY WINE CELLARS,25 HEALDSBURG AVE,HEALDSBURG,95448,SONOMA,0
CA-W-3250,ALAN JAMES ESTRADA AND SANDRA LYN ESTRADA,ELK PRAIRIE VINEYARD,11544 DYERVILLE LOOP RD,MYERS FLAT,95554,HUMBOLDT,0
CA-W-3253,ARTHUR ROBERT KOTH & MARY LOUISE KOTH,MOKELUMNE GLEN VINEYARDS,17347 E GAWNE RD STE B,STOCKTON,95215,SAN JOAQUIN,0
CA-W-3254,"QUOVIUS, INC.",Manzanita Creek Winery,1160 HOPPER AVE,SANTA ROSA,95403,SONOMA,0
CA-W-3256,"S&R ASSOCIATES, LLC",MATCH VINEYARDS,110 CAMINO ORUGA,NAPA,94558,NAPA,0
CA-W-3258,THOMAS O. BROWN,,2875 LARSEN DR,CAMINO,95709,EL DORADO,0
CA-W-3259,HILL-MAR LLC,ILLUMINARE ESTATE,3500 CARSON RD,CAMINO,95709,EL DORADO,0
CA-W-3262,"FERNWOOD CELLARS, INC.",,7137 REDWOOD RETREAT RD,GILROY,95020,SANTA CLARA,0
CA-W-3264,ALHONA VINEYARDS LLC,ALHONA VINEYARDS,19356 CACHAGUA RD,CARMEL VALLEY,93924,MONTEREY,0
CA-W-3266,"TPWC, INC.","Quarry Lake Winery, Sonoma",26200 ARNOLD DR,SONOMA,95476,SONOMA,0
CA-W-3267,"STEPHAN VINEYARDS, INC",L'Aventure Winery,2815 LIVE OAK RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-3273,"FIDDLEHEAD CELLARS, LP",FIDDLEHEAD CELLARS,1597 E CHESTNUT AVE,LOMPOC,93436,SANTA BARBARA,0
CA-W-3274,CALIFORNIA CONCENTRATE CO.,,18678 N HIGHWAY 99,ACAMPO,95220,SAN JOAQUIN,0
CA-W-3275,"GAMBA VINEYARDS AND WINERY, LLC",,3360 COFFEY LN STE E,SANTA ROSA,95403,SONOMA,0
CA-W-3278,JOHN BRODERSEN,LONGSHADOW RANCH,39847 CALLE CONTENTO,TEMECULA,92591,RIVERSIDE,0
CA-W-3279,GUSTAVO LLC,GUSTAVO WINES,902 ENTERPRISE WAY STE P,NAPA,94558,NAPA,0
CA-W-3283,BRUCE EDWIN HANSEN,HANSEN VINEYARD,5575 EL POMAR DR,TEMPLETON,93465,SAN LUIS OBISPO,0
CA-W-3284,"BRYANT VINEYARDS, LTD.",BRYANT FAMILY VINEYARD,1567 SAGE CANYON RD,SAINT HELENA,94574,NAPA,0
CA-W-3290,KAREN L. KANSKY & LAWRENCE E. HOGAN,STONE PINE ESTATE,2717 AVIATION WAY UNIT E-24,SANTA MARIA,93455,SANTA BARBARA,0
CA-W-3291,"DERBES, LLC",DERBES WINES,227 TREADWAY DR,CLOVERDALE,95425,SONOMA,0
CA-W-3293,"THE BREMER GROUP, LLC",,975 DEER PARK RD,SAINT HELENA,94574,NAPA,0
CA-W-3301,"FRUITFUL ENDEAVOR, LLC",,25500 RIVER RD,CLOVERDALE,95425,SONOMA,0
CA-W-3305,THIS REALM LLC,REALM CELLARS,5795 SILVERADO TRL,NAPA,94558,NAPA,0
CA-W-3306,"PARKER STATION, INC.",PARKER STATION,2643 INDUSTRIAL PKWY,SANTA MARIA,93455,SANTA BARBARA,0
CA-W-3309,"OAK RIDGE WINERY, LLC",,6100 E VICTOR RD,LODI,95240,SAN JOAQUIN,0
CA-W-331,"RIDGE VINEYARDS, INC.",,18100 MONTEBELLO RD,CUPERTINO,95014,SANTA CLARA,0
CA-W-3312,"DANIEL GEHRS WINES, LLC",DANIEL GEHRS WINES,35 INDUSTRIAL WAY,BUELLTON,93427,SANTA BARBARA,0
CA-W-3313,"BART ENTERPRISES, INC.",,6015 STEELE CANYON RD SUITE A,NAPA,94558,NAPA,0
CA-W-3314,"AVATAR VINTNERS, INC.",,1006 MONTICELLO RD,NAPA,94558,NAPA,0
CA-W-3316,HOLLIS RAE HARMAN & ERIC BERNARD LEVIN,LE VIN WINERY & VINEYARDS,33151 HIGHWAY 128,YORKVILLE,95494,MENDOCINO,0
CA-W-3317,WAYNE & BARBARA PROCISSI,PROCISSI CELLAR,7505 GRIZZLY FLAT RD,SOMERSET,95684,EL DORADO,0
CA-W-3319,MOHAMED A. KARAH,KARAH ESTATE VINEYARDS,1010 W RAILROAD AVE,COTATI,94931,SONOMA,0
CA-W-3321,RICHARD & MARY KAY ALFARO,ALFARO FAMILY FARM & VINEYARDS,496 HAMES RD,CORRALITOS,95076,SANTA CRUZ,0
CA-W-3322,SALISBURY VINEYARDS,,2195 CORBETT CANYON RD,ARROYO GRANDE,93420,SAN LUIS OBISPO,0
CA-W-3324,"GREEN FAMILY WINERY, LLC.",PAINT HORSE RANCH,16510 ARNOLD DR,SONOMA,95476,SONOMA,0
CA-W-3326,E. & J. GALLO WINERY,LOUIS M. MARTINI WINERY,254 SAINT HELENA HWY,SAINT HELENA,94574,NAPA,0
CA-W-3329,JERICHO CANYON VINEYARDS LLC.,JERICHO CANYON VINEYARDS,3292 OLD LAWLEY TOLL RD,CALISTOGA,94515,NAPA,0
CA-W-3332,AMIZETTA VINEYARDS WINERY LLC,AMIZETTA VINEYARDS WINERY,1099 GREENFIELD RD,SAINT HELENA,94574,NAPA,0
CA-W-3334,"POPE VALLEY WINERY, LLC",Pope Valley Winery,6613 POPE VALLEY RD,POPE VALLEY,94567,NAPA,0
CA-W-3336,"OLABISI, LLC",OLABISI,1617 CEDAR ST,CALISTOGA,94515,NAPA,0
CA-W-3339,"TIN BARN VINEYARDS, LLC",TIN BARN VINEYARDS,21692 8TH ST E STE 340,SONOMA,95476,SONOMA,0
CA-W-3342,"DOMINICK CHIRICHILLO WINES ""LLC""",DOMINICK CHIRICHILLO WINES,1697 INDUSTRIAL RD,SAN CARLOS,94070,SAN MATEO,0
CA-W-3343,"LONGFELLOW WINE COMPANY, LLC",LONGFELLOW WINE COMPANY,45 ENTERPRISE WAY SUITE 1-4,NAPA,94558,NAPA,0
CA-W-3344,PHIL & PEGGY CREWS,PELICAN RANCH WINERY,2364 BEAN CREEK RD DR,SCOTTS VALLEY,95066,SANTA CRUZ,0
CA-W-3354,DONALD A. THIESSEN,THIESSEN WINERY,1525 PEACHY CANYON RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-3355,"SCRIBNER BEND VINEYARDS, INC.",SCRIBNER BEND VINEYARDS,9051 RIVER RD,SACRAMENTO,95832,SACRAMENTO,0
CA-W-3356,"HARTWELL VINEYARDS, LLC",HARTWELL VINEYARDS,5795 SILVERADO TRL,NAPA,94558,NAPA,0
CA-W-3357,"WINE ROAD VINTNERS, LLC",PONTE WINERY,35053 RANCHO CALIFORNIA RD,TEMECULA,92591,RIVERSIDE,0
CA-W-3361,MILLER WINE WORKS LLC,MILLER WINE WORKS,1033 49 HWY,SAN ANDREAS,95249,CALAVERAS,0
CA-W-3363,LASSETER FAMILY WINERY LLC,LASSETER FAMILY WINERY,1 VINTAGE LN,GLEN ELLEN,95442,SONOMA,0
CA-W-3364,"VINOCE VINEYARDS, LLC",VINOCE VINEYARDS,2820 ST. HELENA HWY N,ST. HELENA,94574,NAPA,0
CA-W-3366,"FLEISCHMANN'S VINEGAR COMPANY, INC.",Kerry,444 ROOSEVELT AVE,MONTEBELLO,90640,LOS ANGELES,0
CA-W-3367,JESSIE'S GROVE WINERY,,1973 W TURNER RD,LODI,95242,SAN JOAQUIN,0
CA-W-3370,"FIVE STAR FARMS, LLC",NATAL VINEYARDS,1310 GREEN VALLEY RD,WATSONVILLE,95076,SANTA CRUZ,0
CA-W-3375,E. & J. GALLO WINERY,MCCALL WINERIES & DISTILLERIES,1042 S MCCALL AVE,SANGER,93657,FRESNO,0
CA-W-3376,JAMES D. COSTELLO,COSTELLO'S MOUNTAIN BROW WINERY AND VINEYARD,10850 MT BROW RD,SONORA,95370,TUOLUMNE,0
CA-W-3377,DANIEL ROBERT LUCERO & MARIAN P. LUCERO,OAKS RANCH ENTERPRISES,10654 TEXAS HILL RD,DOBBINS,95935,YUBA,0
CA-W-3379,"COHEN WINE, LLC",MOONDANCE CELLARS,4901 BLANK RD,SEBASTOPOL,95472,SONOMA,0
CA-W-3382,"HARVEST MOON VINEYARDS AND INVESTMENTS, LLC",,2196 OLIVET RD,SANTA ROSA,95401,SONOMA,0
CA-W-3385,MAYO FAMILY WINERY,,8801 BENNETT VALLEY RD,GLEN ELLEN,95442,SONOMA,0
CA-W-3389,MAYO FAMILY WINERY,,13101 ARNOLD DR,GLEN ELLEN,95442,SONOMA,0
CA-W-3390,STEPHEN J. ANGLIM & STEFFANIE J. ANGLIM,ANGLIM WINERY,5683 EL POMAR,TEMPLETON,93465,SAN LUIS OBISPO,0
CA-W-3391,AUTUMN MOON WINE CELLARS LLC,AUTUMN MOON CELLARS,3310 SCENIC DR,NAPA,94558,NAPA,0
CA-W-3393,VILLA AMOROSA,CASTELLO DI AMOROSA,4045 SAINT HELENA HWY,CALISTOGA,94515,NAPA,0
CA-W-3394,RAYMOND & ROBIN MERLO,MERLO VINEYARDS,1/2 MI COUNTY ROAD 2 LOWER SOUTHFORK AND,HYAMPOM,96046,TRINITY,0
CA-W-3395,DONALD R. WASSERMAN,DONALD WASSERMAN VINEYARDS AND WINERY,6010 EL POMAR DR,TEMPLETON,93465,SAN LUIS OBISPO,0
CA-W-3398,MINTON & MANISSE NEWELL TRUSTEE NEWELL FAMILY TRT (COMMENTS),NEWELL VINEYARDS,51210 BRADLEY-LOCKWOOD RD,BRADLEY,93426,MONTEREY,0
CA-W-3400,HARTLEY OSTINI LLC,HARTLEY  OSTINI VINTNERS,4665 SANTA MARIA MESA RD UNIT A,SANTA MARIA,93454,SANTA BARBARA,0
CA-W-3402,"WILD WOOD VINEYARD & WINERY, INC.",WILD WOOD VINEYARD & WINERY,555 EL CAMINO REAL,SAN LUIS OBISPO,93401,SAN LUIS OBISPO,0
CA-W-3409,"BUSBY VINEYARD & WINERY, LLC",BUSBY VINEYARD & WINERY,6375 GRIZZLY FLAT RD,SOMERSET,95684,EL DORADO,0
CA-W-3412,RIVERBEND CELLARS LLC,RIVERBEND CELLARS,12990 AVENUE OF THE GIANTS,MYERS FLAT,95554,HUMBOLDT,0
CA-W-3414,"BECHARD VINEYARD & WINERY, LLC",,4244 ROOSTER CT,SOMERSET,95684,EL DORADO,0
CA-W-3415,SABINA VINEYARD LLC,SABINA VINEYARD,3291 SAINT HELENA HWY,SAINT HELENA,94574,NAPA,0
CA-W-3416,"H DE V, LLC",H DE V,588 TRANCAS ST,NAPA,94558,NAPA,0
CA-W-3420,GOLDRIDGEPINOT.COM LLC,EMERITUS VINEYARDS,2500 GRAVENSTEIN HWY,SEBASTOPOL,95472,SONOMA,0
CA-W-3421,ROBERT P. HARTZELL AND LINDA M. HARTZELL,HARMONY WYNELANDS,9291 E HARNEY LN,LODI,95240,SAN JOAQUIN,0
CA-W-3423,"BUONCRISTIANI WINE CO., LLC",BUONCRISTIANI WINE CO.,"45 ENTERPRISE CT 1, 3 & 4",NAPA,94558,NAPA,0
CA-W-3424,THE HESS COLLECTION WINERY,,1166 COMMERCE BLVD,AMERICAN CANYON,94503,NAPA,0
CA-W-3427,LINA CARRO & DONALD WATTENBARGER,VIOLET-GREEN WINERY,101 MISTY HILL RD,EUREKA,95503,HUMBOLDT,0
CA-W-3428,LAWRENCE C. LONG,AMADOR CELLARS,11093 SHENANDOAH RD,PLYMOUTH,95669,AMADOR,0
CA-W-3429,"DARMS LANE, LLC",DARMS LANE VINEYARD,5055 SOLANO AVE,NAPA,94558,NAPA,0
CA-W-3430,"MEDLOCK AMES VINTNERS, LLC",MEDLOCK AMES,13414 CHALK HILL RD,HEALDSBURG,95448,SONOMA,0
CA-W-3434,DAVIS-LEHRMITAGE LLC,DAVIS-LEHRMITAGE,412 TIMOTHY RD STE B,SANTA ROSA,95407,SONOMA,0
CA-W-3437,"JUMPING J INVESTMENTS, INC.",OAK MEADOW WINERY,3230 RIVERSIDE AVE STE 190,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-3439,KENNEDY HILL ASSOCIATES LLC,KENNEDY HILL VINEYARDS,15050 KENNEDY RD,LOS GATOS,95032,SANTA CLARA,0
CA-W-3440,JOHN M. & MARY S. CUTHBERT,NOBLE OAKS VINEYARD & WINERY,76 OAK ST,OJAI,93023,VENTURA,0
CA-W-3441,MELISSA MARGARET MORAVEC & KURT G. REAUME,CASA CARNEROS,1075 BUCHLI STATION RD,NAPA,94559,NAPA,0
CA-W-3442,"ROBINSON FAMILY VINEYARDS, LLC",,5880 SILVERADO TRL,NAPA,94558,NAPA,0
CA-W-3445,KAREN D. NOGGLE & WILLIAM M. NOGGLE,,700 OLD LONG VALLEY RD,CLEARLAKE OAKS,95423,LAKE,0
CA-W-3447,RANDALL JOHN MEREDITH,MEREDITH FAMILY VINEYARDS,"1 MILE NORTHEAST OF HYAMPOM P. O., END O",HYAMPOM,96046,TRINITY,0
CA-W-3448,"CHARLES F. MARA, INC.",MARAMONTE WINES,21481 EIGHTH ST SUITES 7 &,SONOMA,95476,SONOMA,0
CA-W-3450,HATCHER WINERY LLC,HATCHER WINERY,1969 HIGHWAY 4,DOUGLAS FLAT,95229,CALAVERAS,0
CA-W-3451,"BELLE MARIE WINERY, LLC",,26312 MESA ROCK RD,ESCONDIDO,92026,SAN DIEGO,0
CA-W-3458,CURTIS J. LOCKSHAW,,4550 OAK FLAT RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-3459,JEFFREY A. DOBKIN &  JULIE G. THOMPSON-DOBKIN,THOMPKIN CELLARS,1954 PLACENTIA AVE STE 107,COSTA MESA,92627,ORANGE,0
CA-W-3460,"NELSON AND SONS, INCORPORATED",NELSON FAMILY VINEYARDS,550 NELSON RANCH RD,UKIAH,95482,MENDOCINO,0
CA-W-3462,"METROPOLITAN WINES, LLC",FLEURY FAMILY WINES,950 GALLERON RD,SAINT HELENA,94574,NAPA,0
CA-W-3463,BENNETT LANE WINERY LLC,BENNETT LANE WINERY,3340 HIGHWAY 128,CALISTOGA,94515,NAPA,0
CA-W-3464,"CHRISTIES OF SONOMA, INC.",CHRISTIES OF SONOMA,851 LIMERICK LN,HEALDSBURG,95448,SONOMA,0
CA-W-3465,MAURITSON FAMILY WINERY,,2859 DRY CREEK RD,HEALDSBURG,95448,SONOMA,0
CA-W-3466,"HALL WINES, LLC",RUTHERFORD WINERY,60 AUBERGE RD,RUTHERFORD,94573,NAPA,0
CA-W-3467,PAUL W. HOOVER & PATRICIA A. HOOVER,STILL WATERS VINEYARD,2750 OLD GROVE LN,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-3468,"CABOT VINEYARDS, INC.",CABOT VINEYARDS,209 FERRIS RANCH RD,ORLEANS,95556,HUMBOLDT,0
CA-W-3472,SAXBY WINERY AND VINEYARD,,4880 GLENHILL LN,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-3475,"EAGLE'S TRACE, LLC",EAGLE'S TRACE,680 ROSSI RD,SAINT HELENA,94574,NAPA,0
CA-W-3477,WILLIAM MARION NEESE & WILLIAM EDWARD NEESE,NEESE VINEYARDS,401 E SCHOOL WAY,REDWOOD VALLEY,95470,MENDOCINO,0
CA-W-3481,"MUTT LYNCH WINERY, INC.",MUTT LYNCH,11654 LOS AMIGOS RD,HEALDSBURG,95448,SONOMA,0
CA-W-3494,JON BRIAN PHILLIPS,INSPIRATION VINEYARDS AND WINERY,3360 COFFEY LN STE E,SANTA ROSA,95403,SONOMA,0
CA-W-3496,"RIPKEN VINEYARDS & WINERY, INC.",RIPKEN VINEYARDS & WINERY,2472 W SARGENT RD,LODI,95242,SAN JOAQUIN,0
CA-W-3498,"DAVID GIRARD VINEYARDS, INC.",GIRARD'S,741 COLD SPRINGS RD,PLACERVILLE,95667,EL DORADO,0
CA-W-3501,BRADLEY DAVID TERRILL,TERRILL CELLARS,16175 MAIN ST,LOWER LAKE,95457,LAKE,0
CA-W-3502,AUSTIN HOPE WINERY,,1585 LIVE OAK RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-3503,"GEORGE WINE COMPANY, LLC",GEORGE WINE COMPANY,10295 WESTSIDE RD,HEALDSBURG,95448,SONOMA,0
CA-W-3513,ELKE VINEYARDS LLC,ELKE VINEYARDS,12351 HIGHWAY 128,BOONVILLE,95415,MENDOCINO,0
CA-W-3516,"SIMPSON FAMILY TRUST-ROBERT A. & JANALYN L SIMPSON, TRUSTEES",WHALEBONE WINERY,679 CALF CANYON HWY,CRESTON,93432,SAN LUIS OBISPO,0
CA-W-3522,RANCHO ROBLE VINEYARDS LLC,RANCHO ROBLE VINEYARDS & WINERY,340 FLEMING RD,LINCOLN,95648,PLACER,0
CA-W-3527,KAPCSANDY FAMILY LLC,KAPCSANDY FAMILY WINERY,1001 STATE LN,YOUNTVILLE,94599,NAPA,0
CA-W-3531,"GARDEN CREEK VINEYARDS, LLC",GARDEN CREEK VINEYARDS,2335 GEYSERS RD,GEYSERVILLE,95441,SONOMA,0
CA-W-3533,"WOFFORD WINES, LLC",,1900 HIDDEN VALLEY LN,CAMINO,95709,EL DORADO,0
CA-W-3534,CASA BARRANCA WINES INC.,,1350 FOOTHILL RD,OJAI,93023,VENTURA,0
CA-W-3535,"TOAD HALL CELLARS, LLC",,1885 W ZINFANDEL LN,SAINT HELENA,94574,NAPA,0
CA-W-3537,FRANKEL REVOCABLE TRUST-WARREN & KATHERINE FRANKEL,Sculpterra,5125 LINNE RD,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-3538,"MARTIN RANCH WINERY, INC.",MARTIN RANCH,6675 REDWOOD RETREAT RD,GILROY,95020,SANTA CLARA,0
CA-W-3540,"VINA ROBLES, INC.",VINA ROBLES,1200 PRISKA DR,PASO ROBLES,93446,SAN LUIS OBISPO,0
CA-W-3544,SAINTSBURY LLC,SAINTSBURY,1500 LOS CARNEROS AVE,NAPA,94559,NAPA,0
CA-W-3545,"BOURASSA WINE GROUP, LLC",BOURASSA VINEYARDS,"190 CAMINO ORUGA SUITES H,J",NAPA,94558,NAPA,0
CA-W-3547,"MEADOWOOD ASSOCIATES, A LIMITED PARTNERSHIP",THE NAPA VALLEY RESERVE,1000 SILVERADO TRL N,SAINT HELENA,94574,NAPA,0
CA-W-3550,"FAUST AVENUE, LLC",CASA CASSARA WINERY & VINEYARD,65 LOS PADRES WAY,BUELLTON,93427,SANTA BARBARA,0
CA-W-3552,"REVANA FAMILY PARTNERS, L.P.",REVANA WINERY,2930 SAINT HELENA HWY,SAINT HELENA,94574,NAPA,0
CA-W-3556,"SHEPPARD WINES, LLC",,38060 PARAISO SPRINGS RD,SOLEDAD,93960,MONTEREY,0
CA-W-3562,MATT AND STEFANIE MIKULICS,,995 EL POMAR DR,TEMPLETON,93465,SAN LUIS OBISPO,0
